label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
car,559,81,25,30,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,583,73,18,30,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,598,113,24,31,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,539,58,40,21,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,584,32,35,37,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,533,0,78,37,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,610,152,30,23,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,559,379,59,48,pontus-wellgraf-vvme8J-gJVE-unsplash.jpg,640,427
car,580,656,192,124,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,490,652,57,128,premium_photo-1690958385391-76844034f557.avif,1170,780
car,177,565,307,215,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,192,454,63,64,premium_photo-1690958385391-76844034f557.avif,1170,780
car,208,492,214,73,premium_photo-1690958385391-76844034f557.avif,1170,780
car,366,410,128,91,premium_photo-1690958385391-76844034f557.avif,1170,780
car,432,501,176,94,premium_photo-1690958385391-76844034f557.avif,1170,780
car,715,480,124,147,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,696,413,61,88,premium_photo-1690958385391-76844034f557.avif,1170,780
car,577,413,97,100,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,509,379,47,76,premium_photo-1690958385391-76844034f557.avif,1170,780
car,508,335,85,75,premium_photo-1690958385391-76844034f557.avif,1170,780
car,556,354,127,67,premium_photo-1690958385391-76844034f557.avif,1170,780
car,645,349,110,63,premium_photo-1690958385391-76844034f557.avif,1170,780
car,562,315,83,50,premium_photo-1690958385391-76844034f557.avif,1170,780
car,595,292,67,45,premium_photo-1690958385391-76844034f557.avif,1170,780
car,704,310,79,68,premium_photo-1690958385391-76844034f557.avif,1170,780
car,724,284,69,51,premium_photo-1690958385391-76844034f557.avif,1170,780
car,759,262,56,46,premium_photo-1690958385391-76844034f557.avif,1170,780
car,856,262,46,36,premium_photo-1690958385391-76844034f557.avif,1170,780
car,867,283,47,27,premium_photo-1690958385391-76844034f557.avif,1170,780
car,848,300,64,42,premium_photo-1690958385391-76844034f557.avif,1170,780
car,804,324,96,91,premium_photo-1690958385391-76844034f557.avif,1170,780
car,790,408,115,93,premium_photo-1690958385391-76844034f557.avif,1170,780
car,928,255,18,46,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,656,283,49,49,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,723,257,23,31,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,696,155,14,19,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,716,218,20,36,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,686,229,16,38,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,828,254,19,47,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,596,269,21,34,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,865,204,18,47,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,887,227,10,39,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,906,238,15,42,premium_photo-1690958385391-76844034f557.avif,1170,780
motorcycle,762,225,20,23,premium_photo-1690958385391-76844034f557.avif,1170,780
car,787,313,289,342,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,453,438,263,226,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,1046,373,110,139,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,66,475,251,204,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,120,444,181,46,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,204,448,185,137,premium_photo-1742418773865-5b8956a240c6.avif,1170,780
car,642,626,209,149,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,485,622,129,67,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,567,613,65,42,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,608,606,75,43,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,667,594,69,41,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,1072,602,69,46,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,1013,580,57,42,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,930,577,62,47,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,837,577,60,37,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,773,585,51,33,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,1083,574,35,22,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,1109,584,49,23,premium_photo-1744868562901-aacac8d6cde9.avif,1170,780
car,444,745,135,192,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,532,630,117,113,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,421,532,75,81,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,254,564,64,60,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,205,517,58,47,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,272,452,41,34,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,438,418,53,36,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,423,376,30,28,premium_photo-1754247619804-271b0d45b970.avif,687,1031
car,319,222,238,142,sven-d-a4S6KUuLeoM-unsplash.jpg,640,427
bus,269,406,155,197,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
car,84,541,106,65,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
car,0,557,59,86,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
car,529,553,111,120,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
car,203,536,68,51,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
car,495,537,54,51,the-jd-darshan-solanki-6fJ6TAWatJE-unsplash.jpg,640,852
motorcycle,273,881,75,79,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,432,655,89,60,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,203,706,49,63,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,268,597,21,42,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,319,600,21,35,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,358,580,46,38,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,389,550,37,34,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,345,536,28,22,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,321,552,16,28,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,245,538,27,23,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,323,530,8,17,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
motorcycle,308,521,11,16,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,355,516,22,18,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,579,519,23,20,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
car,514,511,22,16,yusron-el-jihan-KlkShsZ9NHY-unsplash.jpg,640,960
